"Title","Artist","Album","Time","BPM","Key","URL"
"24 horas","Frank Reyes","I Love Bachata 2014 (100% Bachata Hits)","03:47","137.0","6d","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CFrank%20Reyes%20-%2024%20horas.mp3"
"24 horas","Soko Ríos","Ángeles y demonios","03:54","127.0","11m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CSoko%20R%C3%ADos%20-%2024%20horas.mp3"
"24 hours to live","Joyner Lucas","Not Now, I’m Busy","03:29","142.0","10m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CJoyner%20Lucas%20-%2024%20hours%20to%20live.mp3"
"24K Magic","Bruno Mars","24K Magic","03:47","107.0","10d","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CBruno%20Mars%20-%2024K%20Magic.mp3"
"24K Magic","Chris Blue",,"03:33","107.0","1m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CChris%20Blue%20-%2024K%20Magic.mp3"
"25 rosas","Paquito Guzmán","Old School Original Salsa Classics","04:40","94.1","4d","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CPaquito%20Guzm%C3%A1n%20-%2025%20rosas.mp3"
"25/8","Bad Bunny","YHLQMDLG","04:03","152.0","2m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CBad%20Bunny%20-%20258.mp3"
"27 Prodigy - Quiet Storm 2K13","Mobb Deep","Flash Mobb (20Th Year Anniversary)","00:55","97.0","1m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CMobb%20Deep%20-%2027%20Prodigy%20-%20Quiet%20Storm%202K13.mp3"
"28 Prodigy - Strungout","Mobb Deep","Flash Mobb (20Th Year Anniversary)","01:41","89.5","7m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CMobb%20Deep%20-%2028%20Prodigy%20-%20Strungout.mp3"
"29 - Boomerang","DJ Whiteowl","Street Kings 7 (50 Cent Editio","03:28","87.0","3m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CDJ%20Whiteowl%20-%2029%20-%20Boomerang.mp3"
